type4|n008370
type4|n001284
type4|n006658
type4|n001398
type4|n003022
type4|n007033
type4|n001740
type4|n009046
type4|n005237
type4|n007841
type4|n006555
type4|n003955
type4|n002249
type4|n004851
type4|n008087
type4|n003405
type4|n008291
type4|n007338
type4|n008968
type4|n005221
type4|n006069
type4|n007132
type4|n005595
type4|n004168
type4|n003388
type4|n007119
type4|n002217
type4|n001510
type4|n008554
type4|n005299
type4|n008323
type4|n008737
type4|n008611
type4|n004378
type4|n007237
type4|n000052
type4|n008851
type4|n004489
type4|n009180
type4|n003913
type4|n000930
type4|n002366
type4|n007409
type4|n001191
type4|n005774
type4|n002224
type4|n008871
type4|n000927
type4|n007004
type4|n000402
type4|n007253
type4|n002677
type4|n003086
type4|n007563
type4|n002676
type4|n006030
type4|n005567
type4|n004481
type4|n002545
type4|n007053
type4|n008684
type4|n007226
type4|n000360
type4|n006610
type4|n004493
type4|n005583
type4|n008623
type4|n007600
type4|n008879
type4|n008935
type4|n008962
type4|n002718
type4|n007748
type4|n003464
type4|n000828
type4|n005729
type4|n008180
type4|n005684
type4|n003397
type4|n003503
type4|n000544
type4|n000976
type4|n001339
type4|n002778
type4|n002388
type4|n000318
type4|n005495
type4|n005967
type4|n001230
type4|n000925
type4|n008934
type4|n006803
type4|n005396
type4|n002439
type4|n004917
type4|n000732
type4|n007243
type4|n008378
type4|n002940
type4|n006195
type5|n001144
type5|n003111
type5|n008388
type5|n005094
type5|n003365
type5|n001451
type5|n005561
type5|n008893
type5|n008979
type5|n003500
type5|n000031
type5|n000085
type5|n000046
type5|n003047
type5|n006875
type5|n007692
type5|n004877
type5|n004825
type5|n005992
type5|n005498
type5|n007910
type5|n001773
type5|n008207
type5|n004724
type5|n003505
type5|n002378
type5|n001381
type5|n006014
type5|n007966
type5|n007219
type5|n006462
type5|n007580
type5|n007904
type5|n001207
type5|n002354
type5|n008730
type5|n000254
type5|n002374
type5|n002038
type5|n006764
type5|n005002
type5|n009142
type5|n004558
type5|n000831
type5|n008252
type5|n004947
type5|n008450
type5|n006557
type5|n000304
type5|n007667
type5|n003245
type5|n006425
type5|n005262
type5|n007351
type5|n007376
type5|n008898
type5|n001678
type5|n000980
type5|n004645
type5|n004747
type5|n004205
type5|n006628
type5|n006723
type5|n006761
type5|n001834
type5|n007522
type5|n008128
type5|n006269
type5|n007481
type5|n002782
type5|n000242
type5|n006448
type5|n002565
type5|n008952
type5|n008616
type5|n007340
type5|n008633
type5|n001750
type5|n000184
type5|n002437
type5|n004480
type5|n008079
type5|n004835
type5|n007065
type5|n006853
type5|n008837
type5|n006974
type5|n006771
type5|n005485
type5|n007055
type5|n006085
type5|n007251
type5|n002406
type5|n009182
type5|n001577
type5|n005778
type5|n008917
type5|n000474
type5|n000302
type5|n008945
type3|n003317
type3|n001349
type3|n008143
type3|n004190
type3|n005575
type3|n002691
type3|n008001
type3|n002858
type3|n008978
type3|n004820
type3|n004822
type3|n003620
type3|n003673
type3|n007035
type3|n005930
type3|n002174
type3|n003601
type3|n006912
type3|n003380
type3|n005953
type3|n000590
type3|n003856
type3|n006736
type3|n002457
type3|n003153
type3|n008096
type3|n002948
type3|n003381
type3|n008910
type3|n003322
type3|n000305
type3|n007646
type3|n005416
type3|n002350
type3|n004972
type3|n007687
type3|n007054
type3|n000651
type3|n009127
type3|n007072
type3|n007393
type3|n000756
type3|n009145
type3|n005008
type3|n002538
type3|n006540
type3|n005932
type3|n008214
type3|n007610
type3|n005676
type3|n003599
type3|n003625
type3|n007803
type3|n006225
type3|n002365
type3|n003887
type3|n003154
type3|n008739
type3|n005413
type3|n001282
type3|n002806
type3|n003370
type3|n009278
type3|n002415
type3|n000290
type3|n007756
type3|n001701
type3|n008442
type3|n004543
type3|n009274
type3|n008172
type3|n005218
type3|n008382
type3|n000634
type3|n005436
type3|n002520
type3|n009177
type3|n002633
type3|n008412
type3|n009216
type3|n001140
type3|n000365
type3|n008174
type3|n008520
type3|n009174
type3|n000684
type3|n003506
type3|n006718
type3|n004075
type3|n006595
type3|n000336
type3|n001487
type3|n000344
type3|n004912
type3|n008472
type3|n001979
type3|n004924
type3|n005403
type3|n007564
type3|n004649
type6|n008358
type6|n007812
type6|n001887
type6|n006906
type6|n006022
type6|n007932
type6|n008806
type6|n006270
type6|n004824
type6|n007942
type6|n005834
type6|n001268
type6|n000834
type6|n001138
type6|n003539
type6|n002113
type6|n005610
type6|n000626
type6|n003243
type6|n007941
type6|n000370
type6|n005236
type6|n008150
type6|n007411
type6|n009108
type6|n006507
type6|n004104
type6|n005681
type6|n000549
type6|n008250
type6|n008094
type6|n005605
type6|n007529
type6|n005462
type6|n000497
type6|n003508
type6|n005070
type6|n004779
type6|n001241
type6|n006819
type6|n006223
type6|n007641
type6|n000675
type6|n007173
type6|n004029
type6|n006552
type6|n004603
type6|n003698
type6|n003328
type6|n001478
type6|n004531
type6|n004775
type6|n003757
type6|n000896
type6|n001862
type6|n006752
type6|n004626
type6|n001254
type6|n002066
type6|n007654
type6|n001388
type6|n003355
type6|n003057
type6|n002169
type6|n001558
type6|n001120
type6|n002709
type6|n002713
type6|n001602
type6|n001496
type6|n004810
type6|n004726
type6|n005920
type6|n006926
type6|n006778
type6|n000538
type6|n002688
type6|n007117
type6|n007380
type6|n009104
type6|n000697
type6|n009137
type6|n006646
type6|n001598
type6|n009243
type6|n001621
type6|n002434
type6|n002512
type6|n000878
type6|n003315
type6|n003687
type6|n006635
type6|n004954
type6|n000119
type6|n002373
type6|n007728
type6|n000991
type6|n005638
type6|n004576
type6|n008627
type1|n002634
type1|n002480
type1|n002497
type1|n000556
type1|n007523
type1|n008280
type1|n007605
type2|n007281

